CNT;TEMP;PRES;resitance
12599;11,60;1250,66;3676
12600;11,60;1250,93;3687
12601;11,60;1250,93;3664
12602;11,60;1250,52;3685
12603;11,60;1250,52;3669
12604;11,60;1251,06;3629
12605;11,60;1251,20;3696
12606;11,60;1250,52;3645
12607;11,60;1250,66;3669
12608;11,60;1250,93;3673
12609;11,62;1251,25;3644
12610;11,60;1250,93;3694
12611;11,60;1250,79;3671
12612;11,60;1250,93;3664
12613;11,60;1251,06;3664
12614;11,60;1250,66;3673
12615;11,60;1250,52;3661
12616;11,60;1251,20;3620
12617;11,60;1251,33;3649
12618;11,60;1251,06;3675
12619;11,60;1251,06;3645
12620;11,60;1251,20;3669
12621;11,60;1250,66;3703
12622;11,60;1250,93;3654
12623;11,62;1251,39;3662
12624;11,60;1250,93;3733
12625;11,60;1250,79;3647
12626;11,62;1251,12;3657
12627;11,60;1250,93;3675
12628;11,60;1251,20;3644
12629;11,60;1251,60;3654
12630;11,62;1251,66;3689
12631;11,60;1250,93;3695
12632;11,62;1250,71;3661
12633;11,60;1251,33;3631
12634;11,60;1251,33;3695
12635;11,62;1250,71;3677
12636;11,62;1251,12;3634
12637;11,62;1251,79;3696
12638;11,60;1251,47;3677
12639;11,62;1251,12;3659
12640;11,60;1251,20;3653
12641;11,62;1251,25;3681
12642;11,62;1251,25;3687
12643;11,60;1251,88;3604
12644;11,62;1251,25;3726
12645;11,60;1250,38;3666
12646;11,60;1251,74;3557
12647;11,62;1252,47;3654
12648;11,60;1251,33;3663
12649;11,62;1251,12;3654
12650;11,62;1251,93;3630
12651;11,62;1251,79;3728
12652;11,60;1250,93;3699
12653;11,62;1251,52;3637
12654;11,62;1251,79;3687
12655;11,60;1251,33;3696
12656;11,62;1251,66;3637
12657;11,60;1252,01;3675
12658;11,60;1251,47;3690
12659;11,60;1251,47;3647
12660;11,60;1251,88;3696
12661;11,60;1251,33;3733
12662;11,60;1251,47;3650
12663;11,62;1251,79;3717
12664;11,60;1251,06;3719
12665;11,62;1251,52;3664
12666;11,60;1252,15;3644
12667;11,60;1252,28;3686
12668;11,62;1251,39;3711
12669;11,62;1251,52;3687
12670;11,60;1252,01;3674
12671;11,60;1251,74;3712
12672;11,62;1251,25;3735
12673;11,62;1251,39;3671
12674;11,62;1251,79;3693
12675;11,60;1251,74;3697
12676;11,62;1251,79;3695
12677;11,60;1252,01;3650
12678;11,62;1251,93;3722
12679;11,62;1251,39;3733
12680;11,60;1251,60;3664
12681;11,62;1251,66;3728
12682;11,62;1251,66;3713
12683;11,60;1252,28;3648
12684;11,60;1252,15;3743
12685;11,60;1251,47;3711
12686;11,62;1251,79;3703
12687;11,62;1251,93;3696
12688;11,62;1251,93;3703
12689;11,60;1251,88;3697
12690;11,60;1251,88;3679
12691;11,62;1251,79;3700
12692;11,60;1251,60;3693
12693;11,60;1252,15;3671
12694;11,62;1252,34;3695
12695;11,60;1252,01;3711
12696;11,60;1251,88;3698
12697;11,60;1252,15;3695
12698;11,62;1251,79;3711
12699;11,62;1251,79;3698
12700;11,62;1252,34;3643
12701;11,62;1252,47;3695
12702;11,60;1251,60;3712
12703;11,62;1251,79;3649
12704;11,62;1252,47;3712
12705;11,62;1252,07;3696
12706;11,60;1252,15;3664
12707;11,62;1252,34;3717
12708;11,60;1251,88;3698
12709;11,62;1252,20;3669
12710;11,62;1252,07;3711
12711;11,62;1251,93;3697
12712;11,62;1252,61;3619
12713;11,60;1252,55;3738
12714;11,60;1251,60;3715
12715;11,62;1252,07;3661
12716;11,62;1252,34;3712
12717;11,62;1252,07;3711
12718;11,62;1252,34;3648
12719;11,62;1253,01;3679
12720;11,62;1252,47;3737
12721;11,62;1252,07;3693
12722;11,60;1252,42;3696
12723;11,62;1252,20;3709
12724;11,62;1252,34;3697
12725;11,62;1252,47;3698
12726;11,62;1252,74;3674
12727;11,62;1252,61;3731
12728;11,62;1252,20;3713
12729;11,62;1252,47;3707
12730;11,62;1252,74;3671
12731;11,62;1252,88;3695
12732;11,62;1252,61;3695
12733;11,62;1252,61;3669
12734;11,62;1252,74;3695
12735;11,62;1252,47;3719
12736;11,62;1252,34;3722
12737;11,62;1253,01;3642
12738;11,62;1253,01;3728
12739;11,62;1252,34;3721
12740;11,62;1252,61;3673
12741;11,62;1252,74;3723
12742;11,62;1252,61;3712
12743;11,62;1253,15;3642
12744;11,62;1253,29;3722
12745;11,62;1252,20;3700
12746;11,62;1252,61;3683
12747;11,62;1252,88;3729
12748;11,62;1252,88;3709
12749;11,62;1253,42;3663
12750;11,62;1253,15;3760
12751;11,62;1252,34;3739
12752;11,62;1252,88;3693
12753;11,62;1253,56;3725
12754;11,62;1252,74;3719
12755;11,62;1252,61;3695
12756;11,62;1253,56;3645
12757;11,62;1253,69;3714
12758;11,62;1252,61;3715
12759;11,65;1252,93;3660
12760;11,65;1253,75;3685
12761;11,62;1253,29;3696
12762;11,65;1252,93;3682
12763;11,60;1252,96;3677
12764;11,62;1253,42;3695
12765;11,65;1253,34;3671
12766;11,62;1253,42;3706
12767;11,65;1253,34;3685
12768;11,62;1253,56;3664
12769;11,62;1253,56;3713
12770;11,65;1252,93;3695
12771;11,62;1253,15;3695
12772;11,62;1253,56;3666
12773;11,62;1253,96;3695
12774;11,62;1253,29;3723
12775;11,65;1253,07;3691
12776;11,65;1253,75;3632
12777;11,62;1254,23;3654
12778;11,65;1253,61;3712
12779;11,65;1253,20;3722
12780;11,62;1253,29;3698
12781;11,62;1253,69;3691
12782;11,62;1253,96;3695
12783;11,65;1253,88;3714
12784;11,62;1253,29;3722
12785;11,62;1253,15;3751
12786;11,62;1253,42;3676
12787;11,62;1254,23;3701
12788;11,65;1254,02;3719
12789;11,65;1253,48;3728
12790;11,65;1253,75;3705
12791;11,65;1254,15;3676
12792;11,65;1254,15;3724
12793;11,65;1253,48;3731
12794;11,65;1253,34;3711
12795;11,65;1254,02;3675
12796;11,65;1254,02;3728
12797;11,62;1253,69;3719
12798;11,65;1254,42;3671
12799;11,65;1254,15;3742
12800;11,62;1253,56;3713
12801;11,62;1253,56;3716
12802;11,65;1253,88;3710
12803;11,65;1254,15;3719
12804;11,65;1254,56;3646
12805;11,65;1254,56;3751
12806;11,65;1253,07;3737
12807;11,62;1253,69;3652
12808;11,65;1254,97;3650
12809;11,65;1254,70;3742
12810;11,65;1253,61;3725
12811;11,65;1253,61;3703
12812;11,62;1253,96;3681
12813;11,65;1254,70;3662
12814;11,62;1254,64;3703
12815;11,62;1254,37;3669
12816;11,62;1254,23;3651
12817;11,62;1254,23;3701
12818;11,62;1253,96;3702
12819;11,65;1254,29;3696
12820;11,62;1253,83;3712
12821;11,62;1254,23;3696
12822;11,62;1254,51;3701
12823;11,65;1254,02;3723
12824;11,65;1254,15;3697
12825;11,65;1254,83;3664
12826;11,62;1254,91;3726
12827;11,65;1254,29;3728
12828;11,62;1253,96;3699
12829;11,65;1254,15;3714
12830;11,62;1254,37;3693
